"","origin","dev","value","lob"
"1-85",1,8,355025,"PersonalAutoIncurred"
"2-85",2,8,352231,"PersonalAutoIncurred"
"3-84",3,8,389436,"PersonalAutoIncurred"
"1-95",1,9,354986,"PersonalAutoIncurred"
"2-94",2,9,352193,"PersonalAutoIncurred"
"1-104",1,10,355363,"PersonalAutoIncurred"
"1-110",1,1,19827,"CommercialAutoPaid"
"2-19",2,1,22331,"CommercialAutoPaid"
"3-18",3,1,22533,"CommercialAutoPaid"
"4-17",4,1,23128,"CommercialAutoPaid"
"5-16",5,1,25053,"CommercialAutoPaid"
"6-16",6,1,30136,"CommercialAutoPaid"
"7-16",7,1,34764,"CommercialAutoPaid"
"8-16",8,1,31803,"CommercialAutoPaid"
"9-16",9,1,40559,"CommercialAutoPaid"
"10-15",10,1,46285,"CommercialAutoPaid"
"1-26",1,2,44449,"CommercialAutoPaid"
"2-26",2,2,48480,"CommercialAutoPaid"
"3-26",3,2,44484,"CommercialAutoPaid"
"4-26",4,2,51328,"CommercialAutoPaid"
"5-26",5,2,57220,"CommercialAutoPaid"
"6-26",6,2,64767,"CommercialAutoPaid"
"7-26",7,2,69125,"CommercialAutoPaid"
"8-26",8,2,63471,"CommercialAutoPaid"
"9-25",9,2,77667,"CommercialAutoPaid"
"1-36",1,3,61205,"CommercialAutoPaid"
"2-36",2,3,68789,"CommercialAutoPaid"
"3-36",3,3,65691,"CommercialAutoPaid"
"4-36",4,3,81542,"CommercialAutoPaid"
"5-36",5,3,84607,"CommercialAutoPaid"
"6-36",6,3,92288,"CommercialAutoPaid"
"7-36",7,3,91354,"CommercialAutoPaid"
"8-35",8,3,92439,"CommercialAutoPaid"
"1-46",1,4,77398,"CommercialAutoPaid"
"2-46",2,4,92356,"CommercialAutoPaid"
"3-46",3,4,88435,"CommercialAutoPaid"
"4-46",4,4,98063,"CommercialAutoPaid"
"5-46",5,4,104936,"CommercialAutoPaid"
"6-46",6,4,108835,"CommercialAutoPaid"
"7-45",7,4,111987,"CommercialAutoPaid"
"1-56",1,5,88079,"CommercialAutoPaid"
"2-56",2,5,104958,"CommercialAutoPaid"
"3-56",3,5,102044,"CommercialAutoPaid"
"4-56",4,5,113149,"CommercialAutoPaid"
"5-56",5,5,117663,"CommercialAutoPaid"
"6-55",6,5,121326,"CommercialAutoPaid"
"1-66",1,6,95695,"CommercialAutoPaid"
"2-66",2,6,112399,"CommercialAutoPaid"
"3-66",3,6,112672,"CommercialAutoPaid"
"4-66",4,6,121515,"CommercialAutoPaid"
"5-65",5,6,126180,"CommercialAutoPaid"
"1-76",1,7,99853,"CommercialAutoPaid"
"2-76",2,7,115638,"CommercialAutoPaid"
"3-76",3,7,115973,"CommercialAutoPaid"
"4-75",4,7,124347,"CommercialAutoPaid"
"1-86",1,8,104789,"CommercialAutoPaid"
"2-86",2,8,117415,"CommercialAutoPaid"
"3-85",3,8,118359,"CommercialAutoPaid"
"1-96",1,9,105427,"CommercialAutoPaid"
"2-95",2,9,118571,"CommercialAutoPaid"
"1-105",1,10,106690,"CommercialAutoPaid"
